Key,mean,std
num_enum_window,0.031402827539946672,0.53406254615214876
num_get_host_by_name,0.00084467619952547561,0.0062169806227310434
username-NETZWERKDIENST,0.028876103925024023,0.52868445190816737
num_vm_protect,0.031402827539946672,0.53406254615214876
num_enum_share,0.016314459166636264,0.10117700924211291
num_destroy_window,0.0068870500554112134,0.18986261290164108
username-LOKALER DIENST,0.032217287326999078,0.19758047508777019
num_load_dll,0.046912768167553014,0.28024217257960549
num_create_directory,0.019744735982795216,0.13463976998067576
num_create_mutex,0.0054571979039887298,0.03031838020785519
num_set_file_attributes,0.0082515289719295882,0.11590141117910854
num_create_socket,0.049398346381769466,0.33915619114818035
startreason-AnalysisTarget,0.036287845420311625,0.71069182919706408
num_listen_socket,0.025431133072585703,0.75806670270607979
executionstatus-OK,0.040669666976102505,0.23427741995376028
num_find_file,0.13393216746448083,1.0008870548720645
num_create_thread,0.16560112954104589,1.6481746833788566
username-SYSTEM,0.015435445347037948,0.28757532061206276
applicationtype-Win32Application,0.0034435250277056067,0.094931306450820541
num_enum_processes,0.0019541395245326978,0.14674659648042976
num_trimmed_bytes,0.0053889616592439115,1.7385293833194433
num_kill_process,0.0022098547357574179,0.27127987545335736
num_send_socket,0.067234207483518479,1.1984631269651818
num_get_windows_directory,0.041381173371820429,0.21463758590144691
num_create_key,0.070376204611967488,0.78836859308652252
num_open_url,0.089194288886417464,0.75542360345485737
num_vm_read,0.047235019805017979,0.66238777087408873
num_vm_write,0.037144102147810651,0.34952698378251912
startreason-DCOMService,0.00259915343744441,0.19977403527652768
num_create_thread_remote,0.01878613948254871,0.095288356199164398
startreason-InjectedCode,1.4495059099511864e-05,0.066799795592008354
num_open_service,2.309497390226446e-05,0.019510435396878235
num_bind_socket,0.0094674757784088941,0.038779526972231297
username-Administrator,0.1716036064729525,1.0254477576896754
num_remove_directory,0.030568882408439094,1.6986237511976643
num_enum_modules,0.04563728189320472,0.51991265130277786
num_message,0.015781473258081363,0.18710305992116757
num_set_value,0.18402391416068975,2.0705093821152154
num_set_windows_hook,0.014913603874284864,0.1173672290946996
executionstatus-CouldNotInstallHook,0.12719506027081898,0.85062219076874246
num_connect,0.0227879247568589,0.45810305242426497
num_move_file,0.047352693912536166,0.6419487722813495
num_find_window,0.051612283500472339,0.39825651063695033
num_thread,0.012600950693311902,0.21527787101983747
num_set_file_time,0.077275188080141638,1.8120046560082463
num_com_get_class_object,0.00126153991247464,0.0098115044416316743
num_sleep,0.2166217173411551,0.82895097375242421
num_create_window,0.039656208941585815,0.47783979358068546
num_get_file_attributes,0.0096198150323680079,0.13981478642144426
num_start_service,0.0010361872424213036,0.14248595492241417
terminationreason-Timeout,0.08985056255233087,1.7054015959457698
num_open_key,0.20415586614778877,1.3054114996581394
num_read_value,0.019401211647764659,0.52207591956068522
num_create_file,0.000484621352478839,0.20784968002154519
num_revert_to_self,0.0030664103309330829,0.26826308220537559
startreason-CreateProcess,0.0038010048178314525,0.19134904226262903
terminationreason-NormalTermination,0.0089518905742843966,0.0854848581377365
num_dump_line,0.031797316390630846,0.45807102913131081
num_create_service,0.20100821879493572,0.9561520067008854
num_query_value,1.7873596474839677e-05,0.00034450157872572027
num_create_open_file,0.019047739401370063,0.7747253127349214
num_open_process,0.014748283636431802,0.091500571860847466
num_get_computer_name,0.00046122207325960743,0.1784969463668715
num_read_section,0.013014501268761794,0.10680457170022682
num_show_window,0.00067656197292568013,0.20905702753960603
startreason-BHOInstalled,0.012278772176204872,0.23475552374568562
num_delete_value,0.0020560955825196987,0.11158323353133449
num_system_calls,0.074977099890739848,0.45265011400024729
num_check_for_debugger,0.13634429515692886,1.2090422995470176
num_vm_allocate,0.032397999716507607,0.53833438402064493
startreason-SCM,0.099319909681181359,0.81556367617621273
num_enum_keys,0.0034435250277056067,0.094931306450820541
num_copy_file,0.12824009939709446,0.44449787392734585
num_delete_file,0.063974312798597624,1.7423600996006778
num_process,0.001198123050215009,0.021467921031113092
num_connect_socket,0.045439076026830512,0.8561197462472615
num_enum_values,0.16884473515135434,1.1054845168056706
num_change_service_config,0.03334812429094354,0.32803347925130677
num_get_system_time,0.07756230404786188,0.41958193933120802
first_call-load_image,0.031402827539946672,0.53406254615214876
num_delete_key,0.00035650844656790061,0.11435577589450288
num_open_mutex,0.027044259830257534,0.4177889284584716
num_get_username,0.012281183727153165,0.20916801262419488
num_open_file,0.0050790059707799973,0.03671476575540332
num_recv_socket,0.016827190706004164,0.11962181642525076
num_get_system_directory,0.03580568508829899,1.606414894434216
num_impersonate_user,0.064681789013323027,1.868987801136482
num_create_process,0.00084467619952547561,0.0062169806227310434
num_load_image,0.034765768320041114,0.51158624198402969
num_open_scmanager,0.0010567576472091062,0.0077155700073818041
terminationreason-Unknown,0.00084467619952547561,0.0062169806227310434
num_com_create_instance,0.029359893742661028,0.26520901200210623
