  1 Scores:        -751.140461637, 1944.52507687, 4449.73991327, 2508.38137278, 712.103724859, 2676.76085038, 1568.60789893, 3465.87344089, -671.031779373, 2250.66292363, 2074.664983, 3239.91886225, 4488.68461563, -939.416820678, 2486.4477286, -1529.37425034, -2708.89518958, 1448.74494146, 2718.55524714, 1310.68126475, 2158.32896425, 1764.13028614, 1637.34833878, 2236.83388754, 242.718583306, 2046.7273807, 2838.09045771, 2329.75752774, 1926.1241009, 2183.3299571, 1873.17623494, 5141.20009898, 55.8313447726, 1550.01854043, 1100.0, 1169.27951282, -4362.21449843, 1410.82927161, 522.008598624, -2402.91502684, 1635.5135903, 3622.65084798, -6731.5967488, -1094.38217367, 1673.38674906, 816.427385383, 3667.42017985, -495.174605194, 2424.91411036, -609.462920969
  2 Scores:        1309.72795618, 1814.40455639, 915.258608383, 311.819682911, 2577.87361402, 1404.16135673, 2418.75817203, 2269.9878777, 1257.4708583, 2632.68811123, 1197.71142502, -1640.13889131, 779.363275695, -3578.11801699, -236.463239705, 1015.96618495, 679.117880086, 1726.4152768, 1548.33234514, 2140.23812432, 1050.88874035, 1097.3493252, 862.941597769, 410.21874407, 1498.72023794, -3655.49630707, -3503.51597015, 2320.14051904, -910.828831844, 1684.11902237, -1467.17824147, 3098.29912084, 307.525550365, -2982.38911143, 2373.87064091, -4114.53113566, 1299.68382571, 2309.90560462, 809.259224852, 2185.9592094, 993.222873616, 3027.90647885, 1031.35516328, 1098.96003277, 1422.01006234, 4186.33245004, 1616.41756559, 848.081001463, -336.539604868, 1108.87890372
  3 Scores:        1179.915885, -788.612712206, -211.111896359, 1926.8849455, 1152.17001324, -1036.60814471, 1022.43955204, 3996.79701716, 1595.10935973, -1110.97817784, -2078.76657749, 1670.22028713, 559.204128347, 2016.71793879, 1088.54912466, 94.946552347, 1014.78767099, 1833.36788277, 1794.55191124, 1300.0, 540.617489928, 772.51253695, 1494.49924283, 1952.06771087, -176.2456475, 26.8897154138, 1346.03558119, -1538.70027127, 137.765581222, 162.479619683, 2104.71740299, 1305.2370141, 224.032590786, 1615.22513285, 2733.98187475, 2113.39103695, -565.44855347, -462.460892289, 3559.77101663, 2522.46977003, 1751.82897753, 17.9527089392, -2530.7098665, -4396.83610056, 950.988051471, 2794.58989459, 2007.51246355, 1060.83818424, -1436.37944844, 1895.42970216
  4 Scores:        483.63932025, 1028.96538251, 502.629432472, 1022.91552178, 200.733280644, 737.106520424, 945.629765569, 704.30571738, 925.754053494, 813.482792633, 460.400029626, 1282.66612516, -416.704180252, -1478.0480421, 677.742193005, 152.370938666, 507.412434585, 988.938350482, 2126.46858687, -1738.99796766, 232.936961179, 796.972148624, 1406.06028846, 936.139050852, -357.772400878, 1455.7763845, 198.653274449, 896.094205311, 1242.05439644, 1009.58531963, 715.591530264, 693.400278207, -1624.18744064, 766.389775035, 918.336683124, 1352.21474453, 854.100085189, 767.222845072, -1093.69495351, 758.054924093, -198.358035157, 1100.0, 639.619013207, 341.951156435, 658.638173891, 391.443553296, -1120.99812305, -102.437062364, 428.21623272, 5325.38718527
  5 Scores:        523.269085828, 2300.0, -3032.43330779, -655.339852199, -1922.204068, 1644.03481998, -2140.78131103, -130.545792015, 1208.94131633, 2584.88248677, 1623.56345334, 850.385246327, 1594.73844137, 3170.74806932, 1860.51103515, 3966.33229926, 1300.0, 1585.017985, 765.91723285, 383.988077277, -2372.17993203, -658.111582626, -1011.86557283, -5397.80046983, -2851.01405532, 206.345230421, 1233.30923359, -1102.61736807, 1761.0039112, 2413.83291889, -331.705553806, 1428.14932734, 2765.0576939, 605.060984571, 2111.42108371, -3336.92433877, 1243.6294371, -90.1533532339, -463.033662819, 489.638006704, 2044.29838661, 2305.437436, 1209.97255542, 2449.62031508, 2166.56187158, 509.887673413, -573.704671575, -905.381689671, -417.375765409, 915.959034429
  6 Scores:        359.755782114, 304.020879926, 1655.15004439, 424.324971991, 157.320063346, 125.698202938, 700.858034567, 511.039069968, -109.535598366, -2653.62732383, -1382.81916293, -687.601606136, 1045.36989458, -2598.753586, 500.0, 1345.57554723, 322.388256758, 1501.6361677, 694.180610824, 400.255527538, 201.855559593, 2300.0, 2383.87264763, 767.617504688, -31.8369814422, 1754.39997965, 1050.73201074, 3500.0, 2300.0, -381.195507839, 477.265056397, -661.422760479, 1486.62499323, 1807.50537012, 5130.44759424, -673.973622911, 1428.85858154, 446.918554805, 1247.85100057, 1110.15885476, 2459.30123476, 1203.08946094, 1522.49499997, 1547.22487729, 841.534042493, 1877.07058113, 1787.02313779, 399.541119701, 2546.1589515, -676.20545301
  7 Scores:        1992.11089126, 1638.93900403, 1381.57802918, 3109.85239216, -400.644786241, 830.641499013, 2853.82674238, 738.590242546, 217.098056169, 336.300872587, 1976.45884868, 773.776833464, 1315.35525268, 1942.76958535, -1851.20497046, 758.462029154, -356.38696462, 1853.19454172, -2722.04034345, 3151.43935178, 1715.66784966, 1085.26487077, 1180.29273833, 1964.34204675, 476.556453353, 1583.02041325, 2279.49824204, 826.345341877, 3895.16456433, 908.371824521, 1214.30871315, 2902.29584961, -731.637706072, 306.774432421, 1299.40801028, 1487.85952936, -1132.16201049, -1377.95859495, 492.978620885, -746.600949354, 746.672498529, 2085.48138258, -3207.18268061, -260.270807053, -254.847933192, 2754.19383023, 1456.0189559, 803.911038143, 1175.23188217, 634.257785808
  8 Scores:        784.669595273, 1837.75969917, 1173.55490006, 2204.64844398, 1128.60675601, 3842.21465382, 2516.50554787, 1858.44904099, 1778.50857083, 1506.01344632, 1678.20492974, 968.85309462, 2980.1849461, -2540.22562643, 813.598092596, 323.352297202, 973.790628705, 1131.95318777, 1245.60712574, 990.338961408, 548.214818505, 1943.17799307, 4700.0, 1661.36009707, 2147.50438112, 1957.6982032, 956.618826023, -333.674281892, -2233.15021992, 2323.09637101, 1173.18707708, -1552.03748118, 485.509129433, 1077.64586403, 375.006752653, 1433.38666976, 2254.04518368, 37.2297370234, 1626.67269414, 2097.2478151, 2070.07361091, 1634.85631596, 2404.71325693, -1593.25940023, 466.556440051, 1386.52521223, -611.037177435, 2486.64080712, 1935.44516477, 1696.42982532
  9 Scores:        1467.46523631, -3588.9113288, -4433.96963773, 1885.08745006, 837.695347162, -639.182804446, 2691.45885692, 1139.99715577, -2290.16902634, 4062.92707975, 3259.70565352, 3626.04497396, -441.02692561, 735.773046876, 2338.08234833, 116.908835431, 1584.81861107, 2784.28222158, 2986.07399537, 1262.15480635, -1564.08042476, 1206.73822624, 1520.85823583, 1670.94963768, 769.022204855, 847.305223376, 600.325054247, 1174.17518416, 1010.21884471, 2999.57072659, 2592.38770075, 93.1783385493, 3312.1668346, -5240.2722558, 1440.32582264, 1554.09288373, -430.014575724, -677.286123843, 3851.42102014, 208.036091621, 2113.14703005, -1758.22497774, 754.083302048, 2647.22385469, 2685.5665193, -20.0235453504, 1713.63432532, -276.954486977, -1531.92395087, 1632.77974676
 10 Scores:        964.607393466, 744.372366391, 528.771472655, 959.988624743, 1095.80823454, -658.653713824, 640.392652113, 2929.92345685, 793.805785597, 445.062269794, 1098.07792716, 1322.0696258, 402.527804696, 440.705224041, 928.125709976, 100.0, 630.130957726, 306.673575983, 926.372031135, 1760.90762094, 2619.75695826, -3332.31171439, 1003.71511465, -2100.0, -5539.72911569, -198.604483437, 628.945695787, -6063.46697992, 158.170227825, 404.014028166, 3130.66224651, 983.515672315, 1269.43151454, 733.677943173, -1317.55933861, 2881.15750533, 1055.06009725, 639.195069709, 1042.04231986, -2408.29420689, 322.591371763, -1340.16976144, 71.2117731954, 1606.06140617, 2752.81716026, 909.717209146, -339.393336569, 2483.03002612, 1689.44297501, 3751.5658674
