Key,mean,std
num_com_get_class_object,0.065519189472022316,0.52716954710164554
num_enum_window,0.00095173345856555235,0.0067263956454083557
num_delete_value,0.056533657834392952,0.61948548744917764
num_system_calls,0.032245896792075374,0.15111147950994758
num_create_thread_remote,0.016124091356451275,0.25154800409302336
num_sleep,0.21851194282956449,0.63315440814487178
num_vm_allocate,0.0024769333223918387,0.18621862723377747
num_vm_protect,0.025167826360870588,0.16547675622842348
startreason-SCM,0.03158718460317983,0.34399599629060273
num_enum_keys,0.02031772468516856,0.99446239769849887
num_start_service,0.10305867502015788,1.3656575055837477
startreason-InjectedCode,0.26319155098201091,2.7148312994135035
num_create_window,0.025203043283869041,0.20539176043208376
num_copy_file,0.0099016576699513491,0.94577834172445907
num_open_service,0.005442156397647043,0.25602339046642381
num_destroy_window,0.091366954263458713,1.4819173692219076
num_process,0.080784698420773599,0.36509852977117474
num_bind_socket,0.042105234538124127,0.96824131574427952
num_load_dll,0.088112955696134532,0.69608552389071243
num_connect_socket,0.01606253071526232,0.2686845409268307
num_get_file_attributes,0.23663404539655619,1.0246120516751709
num_create_mutex,0.083207584483562788,2.0031359456099684
num_move_file,0.063294126131527295,0.58581432771582442
num_delete_file,0.013609258441128945,0.24385108008241665
num_get_system_time,0.055912687751703868,1.770976352962871
num_open_key,0.11880912341929457,0.79743764713662446
num_open_process,0.051096870333483424,0.45843633961254227
num_set_file_attributes,0.029999070047656826,0.77656500457621469
num_read_value,0.08852328680952215,0.53762849797586254
num_create_socket,0.015927155174583808,0.26737744991648188
startreason-AnalysisTarget,0.00032672548996768506,1.2721865595561233
num_create_file,0.0013189814397140353,0.010892268180052043
executionstatus-OK,0.2571820017555031,0.81948579191796089
num_revert_to_self,0.062022616176718136,0.48187023280261915
num_open_scmanager,0.016608640358663662,0.32539704462801233
num_open_mutex,0.0050044756269312417,0.14219575110983354
num_find_file,0.11879266909768969,1.1235602962328448
num_create_thread,0.15174251310430911,1.1603436953964759
num_recv_socket,0.0020210978566163151,0.68600227558969329
num_get_username,0.0015925528404691456,0.13547932046375294
num_open_file,0.016045544908831047,0.36746516955201342
applicationtype-Win32Application,0.013081397921315055,0.25324013830444186
num_get_system_directory,0.026673391375842251,0.13129739226623788
num_load_image,0.025969764927632467,0.50829460507963009
num_impersonate_user,0.0001175586448851996,0.00066767016535910194
num_remove_directory,0.069572768173717381,1.1923727306702929
startreason-CreateProcess,0.06638257103683845,0.28175340042446978
num_trimmed_bytes,0.0090906153901501186,0.24175010445355602
num_show_window,0.013861272387920742,0.093952450047179586
num_create_open_file,0.024312747283190626,0.33476134876315217
num_kill_process,0.020754911549383401,0.42266502336269701
num_get_computer_name,0.0034644273392319186,0.083699284995522136
num_message,0.078960595290276089,0.47339618399899702
terminationreason-NormalTermination,0.12484124623323473,1.5689618552467586
terminationreason-Unknown,0.020168090358490258,0.60641169519798477
num_read_section,0.13528024839179445,1.0179464877032502
num_send_socket,0.0080620456782256374,0.12577400204651168
num_get_windows_directory,0.095245741017306831,0.42653023954917513
num_set_value,0.047834495264607479,0.9371224286642329
num_set_windows_hook,0.047761904977844431,0.24845700540585672
startreason-BHOInstalled,0.023765041687381833,0.86053719641261905
num_open_url,0.11684738795475186,0.92873255742148164
executionstatus-CouldNotInstallHook,0.021489479811868276,0.30467157336148609
num_listen_socket,0.048311240318275377,0.47747762780223452
num_vm_read,0.065519189472022316,0.52716954710164554
num_change_service_config,0.005155392665459088,0.16618222864902413
num_find_window,0.027216296923244506,0.40759421038135479
num_vm_write,0.00058380942423182341,0.2276131768812254
terminationreason-Timeout,0.0059276382476619012,0.039369411191150949
num_thread,0.017467467985020618,0.17181330623446087
num_com_create_instance,0.040942839488265756,1.4683605521542162
num_set_file_time,0.015590818346127164,1.6217556955160555
startreason-DCOMService,0.00095173345856555235,0.0067263956454083557
