Key,mean,std
protect,6.7412532491840755e-20,1.7689433960637481e-19
servicename,1.0819113733597772e-16,8.882614085539587e-16
target,1.2021796654456474e-19,2.0944906057895681e-19
srcfile,2.5661983717951762e-17,2.0734123559110623e-16
successful,5.9260191725390398e-19,1.3008335123813517e-18
filename,1.1806276595541165e-19,1.8369462971759324e-19
desiredaccess,6.5825154677111778e-19,1.3450026133730184e-18
apifunction,2.0344496214846052e-17,1.7198662491426132e-16
allocationtype,1.4417124072852686e-18,5.7647092389944393e-18
user,1.5236107851214075e-19,4.116575439331628e-19
behavior,3.8451736446075603e-30,3.5179186389968786e-29
action,3.7461283157395965e-20,3.4201746113906906e-19
flags,1.2763350425825454e-18,2.4921488107905682e-18
wantedaddress,4.4242230215304447e-23,3.9678947166967311e-22
